150 800
0 1 9
1 2 5
2 3 4
3 4 5
4 5 8
5 6 1
6 7 5
7 8 2
8 9 9
9 10 3
10 11 3
11 12 2
12 13 3
13 14 8
14 15 7
15 16 8
16 17 6
17 18 3
18 19 8
19 20 4
20 21 4
21 22 1
22 23 4
23 24 5
24 25 2
25 26 9
26 27 1
27 28 2
28 29 2
29 30 8
30 31 7
31 32 10
32 33 8
33 34 8
34 35 4
35 36 1
36 37 2
37 38 3
38 39 1
39 40 1
40 41 5
41 42 7
42 43 2
43 44 4
44 45 4
45 46 2
46 47 5
47 48 1
48 49 9
49 50 5
50 51 6
51 52 2
52 53 7
53 54 9
54 55 2
55 56 6
56 57 2
57 58 8
58 59 10
59 60 3
60 61 2
61 62 8
62 63 1
63 64 1
64 65 9
65 66 4
66 67 10
67 68 10
68 69 2
69 70 10
70 71 10
71 72 3
72 73 8
73 74 9
74 75 6
75 76 6
76 77 1
77 78 2
78 79 4
79 80 9
80 81 6
81 82 10
82 83 2
83 84 10
84 85 10
85 86 9
86 87 4
87 88 1
88 89 6
89 90 5
90 91 2
91 92 3
92 93 8
93 94 4
94 95 2
95 96 10
96 97 9
97 98 9
98 99 9
99 100 9
100 101 2
101 102 3
102 103 7
103 104 5
104 105 1
105 106 8
106 107 10
107 108 9
108 109 9
109 110 4
110 111 9
111 112 3
112 113 7
113 114 2
114 115 2
115 116 2
116 117 8
117 118 7
118 119 3
119 120 10
120 121 9
121 122 6
122 123 6
123 124 2
124 125 9
125 126 5
126 127 1
127 128 1
128 129 3
129 130 10
130 131 1
131 132 10
132 133 8
133 134 3
134 135 7
135 136 6
136 137 8
137 138 8
138 139 5
139 140 7
140 141 5
141 142 3
142 143 1
143 144 3
144 145 9
145 146 8
146 147 1
147 148 2
148 149 3
16 72 7
127 40 3
23 88 1
147 107 2
16 50 7
22 74 9
4 62 5
38 2 1
60 143 9
149 63 5
87 51 7
54 74 3
138 99 8
76 146 1
142 118 1
52 137 2
86 17 4
128 119 6
69 91 1
77 6 4
74 42 9
22 54 8
133 32 3
129 76 1
80 139 10
17 97 7
30 132 4
65 51 7
130 68 4
12 24 6
104 96 6
10 26 10
22 41 3
66 121 8
68 40 5
92 140 7
80 64 4
12 96 1
57 149 3
106 87 7
21 6 7
144 146 1
70 124 1
80 6 2
69 24 5
13 109 5
146 91 9
25 27 5
43 109 3
113 117 10
141 137 10
58 131 8
126 145 2
62 127 3
82 46 3
28 70 6
30 118 7
59 143 1
5 47 2
109 62 1
115 120 4
58 10 4
2 60 1
47 43 9
41 59 3
46 87 7
131 19 1
4 110 9
14 6 2
111 133 8
7 116 6
55 133 10
14 131 5
130 32 10
